id,name,inventory,description,active,created_at,updated_at
1,Small Plastic Plate,26,You can't navigate the bus without generating the open-source USB panel!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
2,Synergistic Iron Pants,157,We need to calculate the digital TCP capacitor!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
3,Aerodynamic Concrete Chair,160,"Try to program the AGP port, maybe it will back up the wireless card!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
4,Ergonomic Steel Car,46,"generating the array won't do anything, we need to program the bluetooth CSS hard drive!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
5,Incredible Iron Coat,156,"If we program the array, we can get to the XML array through the solid state PNG driver!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
6,Aerodynamic Bronze Wallet,6,"The XML alarm is down, reboot the digital pixel so we can reboot the HDD driver!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
7,Fantastic Aluminum Bottle,195,We need to index the multi-byte EXE pixel!,false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
8,Small Wool Car,200,"generating the microchip won't do anything, we need to program the solid state GB circuit!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
9,Aerodynamic Steel Computer,86,"I'll index the 1080p SMTP monitor, that should port the PNG alarm!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
10,Intelligent Bronze Lamp,138,You can't input the microchip without calculating the wireless PCI driver!,false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
11,Gorgeous Paper Wallet,124,"Try to quantify the SSL microchip, maybe it will override the virtual application!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
12,Heavy Duty Leather Knife,143,"The SMS feed is down, quantify the redundant transmitter so we can override the HDD pixel!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
13,Awesome Silk Keyboard,58,"I'll copy the virtual SMS feed, that should sensor the SDD panel!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
14,Ergonomic Granite Clock,48,"Try to synthesize the XSS program, maybe it will calculate the cross-platform protocol!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
15,Intelligent Iron Computer,89,"Try to input the THX panel, maybe it will copy the online microchip!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
16,Awesome Granite Bench,112,"Try to parse the SMS interface, maybe it will connect the primary bus!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
17,Mediocre Steel Coat,139,"Try to synthesize the SCSI system, maybe it will reboot the wireless driver!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
18,Durable Leather Keyboard,53,"The COM matrix is down, parse the primary interface so we can calculate the COM monitor!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
19,Synergistic Linen Knife,68,"I'll generate the mobile AI firewall, that should hard drive the GB monitor!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
20,Ergonomic Silk Chair,161,"If we navigate the monitor, we can get to the RAM circuit through the bluetooth SSL interface!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
21,Mediocre Steel Bottle,153,"The COM transmitter is down, generate the digital application so we can transmit the HDD feed!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
22,Sleek Paper Chair,143,"programming the capacitor won't do anything, we need to reboot the primary TCP interface!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
23,Lightweight Marble Bottle,126,We need to reboot the cross-platform THX array!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
24,Enormous Copper Hat,27,"The JSON interface is down, quantify the online program so we can connect the RSS pixel!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
25,Sleek Rubber Pants,199,"The XSS capacitor is down, back up the redundant firewall so we can input the SAS capacitor!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
26,Incredible Silk Gloves,130,"If we input the matrix, we can get to the SCSI panel through the mobile PCI alarm!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
27,Enormous Concrete Coat,83,"If we generate the program, we can get to the HDD pixel through the multi-byte AI firewall!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
28,Enormous Rubber Shirt,39,We need to navigate the open-source CSS bus!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
29,Synergistic Paper Chair,145,"If we synthesize the system, we can get to the SAS program through the optical AGP bus!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
30,Synergistic Leather Lamp,123,"If we parse the alarm, we can get to the SCSI application through the online TCP bus!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
31,Ergonomic Silk Plate,151,"calculating the panel won't do anything, we need to program the solid state COM matrix!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
32,Heavy Duty Cotton Table,144,"The SCSI array is down, reboot the haptic port so we can copy the SMS system!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
33,Synergistic Cotton Coat,57,"Try to calculate the IB matrix, maybe it will copy the optical firewall!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
34,Enormous Steel Clock,129,"backing up the hard drive won't do anything, we need to hack the optical AI application!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
35,Fantastic Leather Coat,118,"The PNG array is down, program the neural panel so we can reboot the HTTP feed!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
36,Awesome Wool Pants,136,"The RAM program is down, program the bluetooth capacitor so we can override the HTTP driver!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
37,Sleek Copper Computer,93,You can't index the alarm without backing up the back-end AI bus!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
38,Small Bronze Bench,57,"The ADP circuit is down, copy the online driver so we can copy the AGP application!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
39,Small Marble Watch,157,"backing up the application won't do anything, we need to bypass the optical SAS circuit!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
40,Small Concrete Knife,195,"The JBOD card is down, parse the open-source hard drive so we can compress the TCP bandwidth!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
41,Durable Rubber Keyboard,82,"If we back up the pixel, we can get to the FTP firewall through the bluetooth JSON bandwidth!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
42,Awesome Cotton Car,91,"quantifying the port won't do anything, we need to compress the online EXE card!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
43,Small Aluminum Lamp,82,"I'll override the optical USB monitor, that should capacitor the SQL circuit!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
44,Rustic Concrete Table,4,"If we parse the matrix, we can get to the HTTP interface through the 1080p FTP circuit!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
45,Awesome Wool Chair,29,"Try to synthesize the USB system, maybe it will generate the back-end microchip!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
46,Sleek Leather Plate,176,"Try to calculate the PCI matrix, maybe it will synthesize the auxiliary protocol!",true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
47,Practical Granite Bottle,26,"If we input the feed, we can get to the HDD program through the auxiliary SMTP microchip!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
48,Fantastic Cotton Bottle,117,You can't compress the interface without bypassing the digital EXE matrix!,true,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
49,Intelligent Aluminum Knife,48,"I'll program the online IB capacitor, that should application the PNG protocol!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
50,Sleek Linen Watch,160,"I'll compress the 1080p RSS protocol, that should pixel the SAS bus!",false,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
